exercise,upper_lower,type,grip,freq
turkish get-up,aux,aux,0,1
run,aux,aux,0,5
ab wheel,aux,aux,0,3
deadlift,lower,pull,1,7
one-legged deadlift,lower,pull,1,3
kettlebell swing,lower,pull,1,3
pistol progression,lower,push,0,3
back squat,lower,push,0,6
front squat,lower,push,0,5
cossack lunge,lower,push,0,1
bulgarian split squat,lower,push,0,1
barbell row,upper,horizontal pull,1,5
front lever hold,upper,horizontal pull,1,1
push-up,upper,horizontal push,0,2
dip,upper,horizontal push,0,3
planche hold,upper,horiztonal push,0,1
pull-up,upper,vertical pull,1,1
chin-up,upper,vertical pull,1,1
military press,upper,vertical push,0,1
hand-stand push-up,upper,vertical push,0,1
